episode,greedy_reward
250799,-2064.1989
250800,-2065.5811
250801,-2066.4278
250802,-2090.3233
250803,-2194.9133
250804,-2064.1922
250805,-2135.1083
250806,-2143.3161
250807,-2091.1633
250808,-2229.1628
250809,-2077.8900
250810,-2068.8556
250811,-2065.7733
250812,-2080.2844
250813,-2067.4667
250814,-2079.1733
250815,-2119.7117
250816,-2215.9367
250817,-2064.5394
250818,-2280.4733
250819,-2165.3300
250820,-2298.0517
250821,-2105.8306
250822,-2162.8300
250823,-2360.6133
250824,-2067.2611
250825,-2066.1433
250826,-2161.9967
250827,-2162.5522
250828,-2149.6811
250829,-2064.4767
250830,-2068.7889
250831,-2163.3856
250832,-2291.8422
250833,-2162.6967
250834,-2078.7556
250835,-2162.8300
250836,-2162.8300
250837,-2318.7383
250838,-2067.8100
250839,-2066.9700
250840,-2536.0728
250841,-2068.5044
250842,-2065.1711
250843,-2092.4544
250844,-2268.0578
250845,-2462.6400
250846,-2113.5611
250847,-2247.3933
250848,-2141.3989
250849,-2139.5322
250850,-2088.0033
250851,-2125.4644
250852,-2140.1711
250853,-2277.8433
250854,-2066.6989
250855,-2069.3606
250856,-2119.4339
250857,-2139.3856
250858,-2161.4411
250859,-2161.4411
250860,-2170.4344
250861,-2161.7189
250862,-2161.7189
250863,-2161.7189
250864,-2136.2533
250865,-2112.5300
250866,-2344.7744
250867,-2311.2533
250868,-2217.9200
250869,-2067.9422
250870,-2083.5778
250871,-2076.7933
250872,-2276.5867
250873,-2180.6011
250874,-2108.1011
250875,-2066.1433
250876,-2135.3233
250877,-2185.8789
250878,-2098.2978
250879,-2151.0744
250880,-2217.4022
250881,-2168.6633
250882,-2107.2678
250883,-2182.2744
250884,-2182.2744
250885,-2064.7544
250886,-2065.1778
250887,-2182.2744
250888,-2180.6078
250889,-2268.0878
250890,-2234.4139
250891,-2091.6922
250892,-2063.6300
250893,-2065.0322
250894,-2065.3033
250895,-2065.3033
250896,-2066.9700
250897,-2066.1367
250898,-2065.5811
250899,-2087.7478
250900,-2136.0867
250901,-2333.1078
250902,-2065.8589
250903,-2120.7356
250904,-2067.2544
250905,-2196.0089
250906,-2136.9767
250907,-2294.3644
250908,-2165.3189
250909,-2161.9967
250910,-2131.1567
250911,-2065.0322
250912,-2066.9767
250913,-2065.5811
250914,-2208.3300
250915,-2213.7244
250916,-2064.3989
250917,-2065.4489
250918,-2248.9411
250919,-2076.0944
250920,-2211.4967
250921,-2250.9689
250922,-2281.3400
250923,-2145.4917
250924,-2277.4011
250925,-2120.5383
250926,-2338.1361
250927,-2340.6428
250928,-2185.9411
250929,-2271.7189
250930,-2328.9411
250931,-2305.4578
250932,-2279.4967
250933,-2192.5272
250934,-2178.7522
250935,-2512.1411
250936,-2466.9622
250937,-2066.2756
250938,-2505.0844
250939,-2069.4833
250940,-2067.2611
250941,-2067.3933
250942,-2166.2822
250943,-2075.4556
250944,-2230.6078
250945,-2261.1089
250946,-2272.1400
250947,-2076.2889
250948,-2282.0644
250949,-2298.6494
250950,-2065.9978
250951,-2075.7267
250952,-2067.0533
250953,-2213.1078
250954,-2066.0811
250955,-2064.0089
250956,-2065.2700
250957,-2380.1711
250958,-2066.6922
250959,-2093.3789
250960,-2066.0044
250961,-2065.0256
250962,-2066.4144
250963,-2125.0456
250964,-2213.9411
250965,-2213.3856
250966,-2066.8111
250967,-2212.1133
250968,-2066.4144
250969,-2071.1367
250970,-2087.3089
250971,-2127.2478
250972,-2157.6089
250973,-2129.9500
250974,-2119.1922
250975,-2292.2744
250976,-2216.9411
250977,-2285.0522
250978,-2066.2644
250979,-2304.2189
250980,-2373.3856
250981,-2122.9189
250982,-2066.9700
250983,-2067.1850
250984,-2183.0811
250985,-2212.6800
250986,-2066.9072
250987,-2067.7300
250988,-2200.4189
250989,-2071.5444
250990,-2146.4378
250991,-2149.2156
250992,-2169.3644
250993,-2210.3911
250994,-2209.9967
250995,-2212.9467
250996,-2214.7189
250997,-2213.2244
250998,-2212.7744
250999,-2213.2244
251000,-2116.4300
251001,-2116.4300
251002,-2213.9411
251003,-2213.1078
251004,-2212.1133
251005,-2212.1133
251006,-2212.3300
251007,-2212.4967
251008,-2259.9967
251009,-2253.6022
251010,-2211.4411
251011,-2212.2189
251012,-2121.8467
251013,-2121.8467
251014,-2066.9500
251015,-2213.2467
251016,-2210.5522
251017,-2212.4967
251018,-2213.5022
251019,-2157.3039
251020,-2213.3300
251021,-2284.1289
251022,-2282.1844
251023,-2210.5522
251024,-2211.1078
251025,-2210.2744
251026,-2210.2744
251027,-2210.2744
251028,-2210.2744
251029,-2212.4967
251030,-2213.3300
251031,-2210.5522
251032,-2215.5522
251033,-2124.3078
251034,-2163.9078
251035,-2104.6922
251036,-2260.6633
251037,-2260.9411
251038,-2260.5522
251039,-2259.9967
251040,-2116.5833
251041,-2118.2633
251042,-2259.9967
251043,-2261.4967
251044,-2119.0622
251045,-2121.9411
251046,-2264.0589
251047,-2120.9133
251048,-2325.4611
251049,-2194.4967
251050,-2209.0022
251051,-2066.0811
251052,-2118.8161
251053,-2210.2744
251054,-2065.7767
251055,-2075.1744
251056,-2067.9289
251057,-2065.5811
251058,-2211.3856
251059,-2066.6922
251060,-2065.3033
251061,-2066.9700
251062,-2065.5122
251063,-2067.2411
251064,-2213.1078
251065,-2065.0256
251066,-2125.6078
251067,-2220.8989
251068,-2067.0378
251069,-2085.5811
251070,-2079.2400
251071,-2138.7644
251072,-2115.8589
251073,-2106.6922
251074,-2108.3589
251075,-2067.8033
251076,-2230.8856
251077,-2196.1078
251078,-2263.3856
251079,-2230.0522
251080,-2070.3033
251081,-2065.3033
251082,-2150.2178
251083,-2227.5522
251084,-2126.6633
251085,-2064.9400
251086,-2067.0300
251087,-2068.0022
251088,-2158.6911
251089,-2065.1550
251090,-2159.2467
251091,-2179.5772
251092,-2159.2467
251093,-2120.9133
251094,-2124.5244
251095,-2109.7572
251096,-2244.3356
251097,-2109.8944
251098,-2166.3078
251099,-2122.1356
251100,-2123.9411
251101,-2370.4689
251102,-2245.9467
251103,-2068.7489
251104,-2068.3256
251105,-2131.7122
251106,-2141.1367
251107,-2064.1922
251108,-2072.2478
251109,-2250.3300
251110,-2162.5522
251111,-2279.8356
251112,-2065.3033
251113,-2065.0256
251114,-2065.8589
251115,-2163.1356
251116,-2098.1644
251117,-2197.2744
251118,-2063.6367
251119,-2066.6922
251120,-2065.7894
251121,-2081.8178
251122,-2066.7217
251123,-2067.5817
251124,-2160.5522
251125,-2158.9689
251126,-2317.5522
251127,-2160.6078
251128,-2160.3300
251129,-2160.3300
251130,-2156.4411
251131,-2266.4967
251132,-2285.6911
251133,-2135.5056
251134,-2100.5811
251135,-2163.6078
251136,-2235.6078
251137,-2296.1633
251138,-2066.9700
251139,-2339.2189
251140,-2067.2478
251141,-2065.8589
251142,-2102.8033
251143,-2067.2478
251144,-2065.8589
251145,-2120.1411
251146,-2108.9411
251147,-2064.4700
251148,-2063.9144
251149,-2065.5744
251150,-2109.4967
251151,-2066.2128
251152,-2065.5811
251153,-2125.3994
251154,-2114.1633
251155,-2124.5661
251156,-2065.8589
251157,-2124.8439
251158,-2068.0478
251159,-2139.2833
251160,-2064.9561
251161,-2069.0133
251162,-2068.5606
